NumCuenta;CodigoApp;Tienda;Dispositivo;Telefono;Fecha;Valoracion;Comentario
314;APP1;Google Play Store;Telefono;89009890;2020-03-21;1;Falla mucho yaparece lo de la semana pasada y muchos anuncios no dejar ver la información
314;APP2;Google Play Store;Telefono;89007678;2020-05-24;5;
314;FUE4;Google Play Store;Tablet;;2015-02-01;3;a aplicacion solo me deja verla vertical y sale publicidad constantemente. No se si es mi tablet o la aplicacion pero con la anterior version me iba mejor. Gracias
315;FUE5;App World;Telefono;86554565;2021-01-26;0;
316;FUE4;Marketplace;Telefono;87665456;2019-10-29;5;
316;ADE2;Marketplace;Telefono;87765672;2020-05-24;0;
317;ADE3;Appstore;Tablet;;2020-04-24;4;Muy buena la app. Ayuda mucho. Pero desde hace rato los comentarios salen muy largos. Y uno se enrreda mucho. Antes salían muy bien. Los comentarios normales. Ni tan largos ni tan pequeños. Si mejoran eso le daría 5 estrellas.
318;APP2;Marketplace;Telefono;89008767;2020-03-21;0;Personalmente es una buena ayuda y práctica para las reuniones.. Solo q a veces no se actualiza para la semana.. Xq cuando busco solo de la semana pasada
319;FUE5;Google Play Store;Telefono;87665456;2019-10-29;5;
320;FUE4;App Store;Telefono;87765674;2021-01-26;4;
320;FUE5;App Store;Telefono;87337834;2020-03-09;4;Es verdad que alguna ayuda necesitamos para aveces preparar alguna reunion, pero no se si os dais cuenta de que con esta aplicación muchos hermanos se an puesto cómodos y ya no preparan las reuniones sino que leen ya directamente los comentarios que otros hermanos an trabajado en resaltar, y esto no…
320;FUE6;App Store;Notebook;;2021-03-04;0;
320;APP1;App Store;Tablet;;2019-10-29;2;
321;APP1;Google Play Store;Telefono;34555434;2020-03-21;2;
322;FUE3;AppCatalog;Telefono;56777678;2020-09-03;0;La app ahora una vez que se actualiza ya no se puede abrir y consultar el contenido sin Internet como antes, además que ya no trae las sugerencias para la predicación por teléfono y por cartas.
324;FUE3;OVITienda;Telefono;45666765;2021-01-26;4;Esta aplicacion es muy buena solo que si tubiera mas variedad por que faltan algunos datos como los del temas de perlas escondidas, y ademas si pudiera tener una sccion de comentarios para niños estaria perfecto.
324;FUE5;OVITienda;Tablet;;2020-03-09;5;Tiene mucho anuncio, y eso no es adecuado para una aplicación para adorar a Jehová, tienen que hacer como JW LIBRARY que no tiene ni un anuncio, si quitan esos anuncios le pongo 5 estrellas
325;FUE6;Google Play Store;Telefono;56777667;2021-05-05;3;
326;FUE6;OVITienda;Telefono;56775434;2021-05-05;2;Se durmió el desarrollador porque desde hace hace unos días no se actualiza y ya la borré y la volví a instalar y sigue igual,con información de hace dos semanas..ojo con eso desarrollador
326;ADE3;OVITienda;Tablet;;2019-10-29;3;
326;APP3;OVITienda;Tablet;;2020-02-21;3;Es de agradecer el trabajo que realizan porque es muy bueno, pero no se entiende que siendo algo espiritual tenga tantos anuncios. Eso no esta bien hermanos, no se debe comercializar con los hermanos.
327;APP3;AppCatalog;Telefono;56779887;2019-10-29;0;
328;APP2;Marketplace;Tablet;;2020-05-24;3;
328;GOO4;Marketplace;Telefono;56778778;2019-10-29;0;
